p_sbm3	p_sbm2	p_sbm1	p_sb0	p_sb1	p_sb2	p_sb3	phi	f_sb	c	f_c
-49.6991574826	-43.6385415123	-42.1897153027	-53.4306146124	-14.7958061893	-45.6094792544	-57.9952814672	1.61803397484	-0.325	0.0	7.77
-48.7492962781	-52.3624399396	-49.2417444007	-53.8463978382	-12.7200085797	-50.0107564859	-62.2622842779	0.953990032446	-0.275	0.154028642714	7.77
-48.3156230824	-60.0617364469	-57.2643546526	-52.0042266503	-11.519519871	-54.7295545029	-64.0288509136	0.203477345779	-0.225	0.0	7.77
-40.7629150673	-53.1020452021	-68.9702847049	-50.4074214399	-10.3865793106	-61.4061489391	-61.8061492606	-0.549798289429	-0.175	0.265094411213	7.77
-37.2907236655	-56.551438925	-69.8000820819	-48.4124338605	-9.97283181373	-66.0466984721	-58.2432005098	-1.30534029518	-0.125	0.899999974834	7.77
-49.2583411615	-65.43912694	-70.0853830997	-53.0302656291	-23.3219011919	-68.5151253586	-68.5767738806	-1.39081172813	-0.12	-0.78632826466	7.77
-50.6859793495	-66.7291602936	-70.2655830497	-49.9974512793	-24.5901538076	-68.934241837	-69.2103537561	-1.3883121019	-0.12	0.370233475645	7.77
-60.6804158785	-66.9526809366	-70.0779792641	-62.9307938268	-34.182032247	-66.5065513632	-70.1749356295	-1.38643084466	-0.12	-0.159175316841	7.77
-67.0117684604	-71.0636106898	-79.3788430482	-45.0693996743	-41.8732393763	-71.0378274817	-79.3405667261	-1.37310257173	-0.12	-0.666077884377	7.77
-33.5246323958	-58.1761814464	-40.5156604833	-47.2275516385	-9.03670048975	-69.5064838039	-62.6715869616	-1.9968986262	-0.075	0.0	7.77
-31.8006700712	-61.3732171034	-49.2046106092	-46.2636387814	-8.61436429247	-57.8781984388	-54.0420190846	3.49401797708	-0.025	-0.485044089917	7.77
-45.219480063	-66.9197184344	-62.3527723421	-52.24954067	-21.7610219445	-69.2031212348	-66.5466697799	3.46277548535	-0.023	0.620369791503	7.77
-56.3266134197	-65.6693847992	-68.4685355233	-59.6529073267	-32.7463414614	-62.3380802053	-69.3511488894	3.44995781615	-0.023	0.592407039331	7.77
-63.546917208	-67.237507973	-72.4559326675	-44.6071805093	-39.3591198276	-64.9615318624	-77.0996997888	3.47143617562	-0.023	-0.633510726487	7.77
-32.0653755328	-65.249199832	-48.0095669749	-46.8957958736	-9.22240960752	-57.1404936885	-53.7669722398	2.76303582914	0.025	-0.241322177297	7.77
-46.3965041763	-70.0406583546	-51.2157833506	-52.1993191936	-22.7798527367	-68.1867511533	-69.8741456221	2.618034	0.04	-1.22759534067e-11	7.77
-46.3249073885	-68.4006209894	-61.1170247027	-52.7565106821	-22.7103396959	-68.1539701259	-65.8638660838	2.5506441561	0.04	0.0839077268028	7.77
-47.5391523493	-68.5809018329	-52.2222887548	-49.884622107	-23.9645422803	-68.609896295	-70.1886011632	2.618034	0.04	0.0	7.77
-57.3676538687	-65.5741901493	-68.1520399881	-60.9364183904	-33.5179587831	-64.1747040534	-69.932487541	2.54466885488	0.04	0.458657051248	7.77
-65.0858007281	-67.2728006092	-73.1783888513	-44.6969925375	-40.4351620704	-68.5506257419	-79.4189287629	2.55600230941	0.04	0.589667482571	7.77
-33.7858407691	-62.8184894329	-54.1442725822	-47.907898578	-9.20322909245	-56.0253777822	-52.969309743	2.03877827998	0.075	0.663932025146	7.77
-47.8320845414	-67.5752544917	-69.965668258	-53.3522549801	-23.3786121792	-67.8257024232	-68.9647957556	1.58082571215	0.106	-0.257354178029	7.77
-58.6251186899	-66.7867831821	-70.2933942658	-62.4172672344	-34.5767622422	-65.5179604447	-70.1634078201	1.58127219024	0.106	0.243474124219	7.77
-68.3339286105	-67.4830815762	-78.3801375935	-44.784812983	-42.5407862206	-70.2577896126	-78.8206217632	1.59654776142	0.106	0.671331616523	7.77
-35.0294575954	-62.0959992499	-55.7888751074	-48.9940657486	-10.3850616158	-56.1361925849	-58.8381604777	1.29547522977	0.125	0.186401312503	7.77
-38.3145937963	-58.2859318721	-60.9563885593	-52.231282904	-11.0450547466	-51.939569742	-63.1440300766	0.541672841863	0.175	-0.927077191481	7.77
-38.8850932584	-58.6395706269	-60.9549645909	-53.0137351282	-12.3292590513	-62.5440998516	-66.0353007663	-0.217024697308	0.225	0.192038973059	7.77
-40.8458234726	-47.6809701527	-49.6648289989	-53.4150260598	-13.8356812112	-48.7368942934	-62.6246267352	-0.966911268522	0.275	0.60946766612	7.77
-45.1134015596	-43.9724707323	-40.372216441	-53.4557592065	-14.564168368	-42.7513170195	-66.6265966204	-1.618034	0.325	0.0	7.77
-55.7430947421	-59.2019460412	-66.9806095717	-45.0958766242	-31.3564624644	-57.0949276053	-75.3986535137	3.50060436425	-0.025	0.681023641055	7.77
